Using cpu device
Logging to runs\ppo_metadrive_10_scenarios\ppo_metadrive_10_scenarios_2025-03-18_18-59-30_e347670b\ppo_metadrive_10_scenarios_1
-----------------------------
| time/              |      |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0024475695 |
|    clip_fraction        | 0.147        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.8         |
|    explained_variance   | -0.00143     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.403        |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00431     |
|    std                  | 0.979        |
|    value_loss           | 0.624        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 597         |
|    ep_rew_mean          | 8           |
| time/                   |             |
|    fps                  | 975         |
|    iterations           | 11          |
|    time_elapsed         | 28          |
|    total_timesteps      | 28160       |
| train/                  |             |
|    approx_kl            | 0.002502781 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.79       |
|    explained_variance   | -0.021      |
|    learning_rate        | 5e-05       |
|    loss                 | 0.752       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00369    |
|    std                  | 0.979       |
|    value_loss           | 0.83        |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.0667       |
|    max_step             | 0            |
|    mean_ep_length       | 39.8         |
|    mean_reward          | 12           |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.18911651   |
|    route_completion     | 0.17         |
|    success_rate         | 0            |
|    total_cost           | 1.4          |
| time/                   |              |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0028828098 |
|    clip_fraction        | 0.167        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.79        |
|    explained_variance   | 0.0036       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.285        |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00463     |
|    std                  | 0.976        |
|    value_loss           | 0.617        |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 701      |
|    ep_rew_mean     | 12.3     |
| time/              |          |
|    fps             | 943      |
|    iterations      | 12       |
|    time_elapsed    | 32       |
|    total_timesteps | 30720    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 617          |
|    ep_rew_mean          | 12.1         |
| time/                   |              |
|    fps                  | 936          |
|    iterations           | 13           |
|    time_elapsed         | 35           |
|    total_timesteps      | 33280        |
| train/                  |              |
|    approx_kl            | 0.0032232087 |
|    clip_fraction        | 0.191        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.78        |
|    explained_variance   | -0.0132      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.281        |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00595     |
|    std                  | 0.972        |
|    value_loss           | 0.717        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 580          |
|    ep_rew_mean          | 13.3         |
| time/                   |              |
|    fps                  | 914          |
|    iterations           | 14           |
|    time_elapsed         | 39           |
|    total_timesteps      | 35840        |
| train/                  |              |
|    approx_kl            | 0.0016332369 |
|    clip_fraction        | 0.0599       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.78        |
|    explained_variance   | 0.00995      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.752        |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00186     |
|    std                  | 0.967        |
|    value_loss           | 1.87         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 550          |
|    ep_rew_mean          | 13.8         |
| time/                   |              |
|    fps                  | 914          |
|    iterations           | 15           |
|    time_elapsed         | 41           |
|    total_timesteps      | 38400        |
| train/                  |              |
|    approx_kl            | 0.0008207313 |
|    clip_fraction        | 0.00973      |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.77        |
|    explained_variance   | -0.00411     |
|    learning_rate        | 5e-05        |
|    loss                 | 1.47         |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.000563    |
|    std                  | 0.963        |
|    value_loss           | 2.44         |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0           |
|    crash                | 0.05        |
|    max_step             | 0           |
|    mean_ep_length       | 31.6        |
|    mean_reward          | 8.39        |
|    num_episodes         | 5           |
|    out_of_road          | 1           |
|    raw_action           | 0.21158712  |
|    route_completion     | 0.139       |
|    success_rate         | 0           |
|    total_cost           | 1.3         |
| time/                   |             |
|    total_timesteps      | 40000       |
| train/                  |             |
|    approx_kl            | 0.002441579 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.76       |
|    explained_variance   | 0.0551      |
|    learning_rate        | 5e-05       |
|    loss                 | 0.862       |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00565    |
|    std                  | 0.961       |
|    value_loss           | 1.49        |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 494      |
|    ep_rew_mean     | 13.7     |
| time/              |          |
|    fps             | 879      |
|    iterations      | 16       |
|    time_elapsed    | 46       |
|    total_timesteps | 40960    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 460         |
|    ep_rew_mean          | 13          |
| time/                   |             |
|    fps                  | 883         |
|    iterations           | 17          |
|    time_elapsed         | 49          |
|    total_timesteps      | 43520       |
| train/                  |             |
|    approx_kl            | 0.001089994 |
|    clip_fraction        | 0.0377      |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.75       |
|    explained_variance   | 0.102       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.37        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00117    |
|    std                  | 0.957       |
|    value_loss           | 3           |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 422          |
|    ep_rew_mean          | 13.3         |
| time/                   |              |
|    fps                  | 884          |
|    iterations           | 18           |
|    time_elapsed         | 52           |
|    total_timesteps      | 46080        |
| train/                  |              |
|    approx_kl            | 0.0015661858 |
|    clip_fraction        | 0.0724       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.75        |
|    explained_variance   | 0.0973       |
|    learning_rate        | 5e-05        |
|    loss                 | 1.19         |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00268     |
|    std                  | 0.954        |
|    value_loss           | 2.27         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 380         |
|    ep_rew_mean          | 14.6        |
| time/                   |             |
|    fps                  | 889         |
|    iterations           | 19          |
|    time_elapsed         | 54          |
|    total_timesteps      | 48640       |
| train/                  |             |
|    approx_kl            | 0.001532683 |
|    clip_fraction        | 0.0744      |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.74       |
|    explained_variance   | -0.0942     |
|    learning_rate        | 5e-05       |
|    loss                 | 2           |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00292    |
|    std                  | 0.95        |
|    value_loss           | 3.98        |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0           |
|    crash                | 0.04        |
|    max_step             | 0           |
|    mean_ep_length       | 65.2        |
|    mean_reward          | 53.9        |
|    num_episodes         | 5           |
|    out_of_road          | 1           |
|    raw_action           | 0.2578615   |
|    route_completion     | 0.147       |
|    success_rate         | 0           |
|    total_cost           | 1.24        |
| time/                   |             |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.001507774 |
|    clip_fraction        | 0.0574      |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.0086      |
|    learning_rate        | 5e-05       |
|    loss                 | 1.5         |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00196    |
|    std                  | 0.948       |
|    value_loss           | 3.31        |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 312      |
|    ep_rew_mean     | 15.5     |
| time/              |          |
|    fps             | 867      |
|    iterations      | 20       |
|    time_elapsed    | 59       |
|    total_timesteps | 51200    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 237          |
|    ep_rew_mean          | 13.9         |
| time/                   |              |
|    fps                  | 870          |
|    iterations           | 21           |
|    time_elapsed         | 61           |
|    total_timesteps      | 53760        |
| train/                  |              |
|    approx_kl            | 0.0014033474 |
|    clip_fraction        | 0.0591       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.73        |
|    explained_variance   | 0.0155       |
|    learning_rate        | 5e-05        |
|    loss                 | 2.06         |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00234     |
|    std                  | 0.947        |
|    value_loss           | 4.29         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | 13.1        |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 22          |
|    time_elapsed         | 65          |
|    total_timesteps      | 56320       |
| train/                  |             |
|    approx_kl            | 0.001300241 |
|    clip_fraction        | 0.0446      |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.0307      |
|    learning_rate        | 5e-05       |
|    loss                 | 1.89        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00124    |
|    std                  | 0.945       |
|    value_loss           | 3.78        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 176         |
|    ep_rew_mean          | 12          |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 23          |
|    time_elapsed         | 68          |
|    total_timesteps      | 58880       |
| train/                  |             |
|    approx_kl            | 0.001173911 |
|    clip_fraction        | 0.0376      |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 0.125       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.84        |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00103    |
|    std                  | 0.944       |
|    value_loss           | 4.54        |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.0333       |
|    max_step             | 0            |
|    mean_ep_length       | 52.4         |
|    mean_reward          | 35.1         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.28731534   |
|    route_completion     | 0.143        |
|    success_rate         | 0            |
|    total_cost           | 1.2          |
| time/                   |              |
|    total_timesteps      | 60000        |
| train/                  |              |
|    approx_kl            | 0.0011667646 |
|    clip_fraction        | 0.0438       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.72        |
|    explained_variance   | 0.112        |
|    learning_rate        | 5e-05        |
|    loss                 | 3.66         |
|    n_updates            | 460          |
|    policy_gradient_loss | -0.00181     |
|    std                  | 0.943        |
|    value_loss           | 5.42         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 185      |
|    ep_rew_mean     | 14.2     |
| time/              |          |
|    fps             | 860      |
|    iterations      | 24       |
|    time_elapsed    | 71       |
|    total_timesteps | 61440    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 165          |
|    ep_rew_mean          | 13           |
| time/                   |              |
|    fps                  | 861          |
|    iterations           | 25           |
|    time_elapsed         | 74           |
|    total_timesteps      | 64000        |
| train/                  |              |
|    approx_kl            | 0.0011065681 |
|    clip_fraction        | 0.0309       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.72        |
|    explained_variance   | -0.0371      |
|    learning_rate        | 5e-05        |
|    loss                 | 2.19         |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.00156     |
|    std                  | 0.941        |
|    value_loss           | 4.35         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 155          |
|    ep_rew_mean          | 12.7         |
| time/                   |              |
|    fps                  | 864          |
|    iterations           | 26           |
|    time_elapsed         | 76           |
|    total_timesteps      | 66560        |
| train/                  |              |
|    approx_kl            | 0.0013667854 |
|    clip_fraction        | 0.0559       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.71        |
|    explained_variance   | 0.0448       |
|    learning_rate        | 5e-05        |
|    loss                 | 3.4          |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00255     |
|    std                  | 0.937        |
|    value_loss           | 5.41         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 159          |
|    ep_rew_mean          | 13.7         |
| time/                   |              |
|    fps                  | 868          |
|    iterations           | 27           |
|    time_elapsed         | 79           |
|    total_timesteps      | 69120        |
| train/                  |              |
|    approx_kl            | 0.0012155243 |
|    clip_fraction        | 0.0278       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.7         |
|    explained_variance   | 0.143        |
|    learning_rate        | 5e-05        |
|    loss                 | 2.86         |
|    n_updates            | 520          |
|    policy_gradient_loss | -0.00139     |
|    std                  | 0.933        |
|    value_loss           | 5.02         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.0571       |
|    max_step             | 0            |
|    mean_ep_length       | 31.2         |
|    mean_reward          | 9.21         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.2990122    |
|    route_completion     | 0.13         |
|    success_rate         | 0            |
|    total_cost           | 1.17         |
| time/                   |              |
|    total_timesteps      | 70000        |
| train/                  |              |
|    approx_kl            | 0.0011961745 |
|    clip_fraction        | 0.0359       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.7         |
|    explained_variance   | 0.0361       |
|    learning_rate        | 5e-05        |
|    loss                 | 2.9          |
|    n_updates            | 540          |
|    policy_gradient_loss | -0.00177     |
|    std                  | 0.932        |
|    value_loss           | 5.52         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 154      |
|    ep_rew_mean     | 14       |
| time/              |          |
|    fps             | 864      |
|    iterations      | 28       |
|    time_elapsed    | 82       |
|    total_timesteps | 71680    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 129          |
|    ep_rew_mean          | 11.2         |
| time/                   |              |
|    fps                  | 860          |
|    iterations           | 29           |
|    time_elapsed         | 86           |
|    total_timesteps      | 74240        |
| train/                  |              |
|    approx_kl            | 0.0010638123 |
|    clip_fraction        | 0.0178       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.69        |
|    explained_variance   | 0.18         |
|    learning_rate        | 5e-05        |
|    loss                 | 3.69         |
|    n_updates            | 560          |
|    policy_gradient_loss | -0.00137     |
|    std                  | 0.929        |
|    value_loss           | 6.38         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 128          |
|    ep_rew_mean          | 11.5         |
| time/                   |              |
|    fps                  | 865          |
|    iterations           | 30           |
|    time_elapsed         | 88           |
|    total_timesteps      | 76800        |
| train/                  |              |
|    approx_kl            | 0.0007056902 |
|    clip_fraction        | 0.0248       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.69        |
|    explained_variance   | 0.173        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.81         |
|    n_updates            | 580          |
|    policy_gradient_loss | -0.00129     |
|    std                  | 0.927        |
|    value_loss           | 9            |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 127          |
|    ep_rew_mean          | 11.7         |
| time/                   |              |
|    fps                  | 870          |
|    iterations           | 31           |
|    time_elapsed         | 91           |
|    total_timesteps      | 79360        |
| train/                  |              |
|    approx_kl            | 0.0012814321 |
|    clip_fraction        | 0.0622       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.68        |
|    explained_variance   | 0.326        |
|    learning_rate        | 5e-05        |
|    loss                 | 2.26         |
|    n_updates            | 600          |
|    policy_gradient_loss | -0.00238     |
|    std                  | 0.925        |
|    value_loss           | 4.45         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.05         |
|    max_step             | 0            |
|    mean_ep_length       | 110          |
|    mean_reward          | 84.4         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.33378214   |
|    route_completion     | 0.148        |
|    success_rate         | 0            |
|    total_cost           | 3.05         |
| time/                   |              |
|    total_timesteps      | 80000        |
| train/                  |              |
|    approx_kl            | 0.0008416497 |
|    clip_fraction        | 0.0268       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.68        |
|    explained_variance   | 0.212        |
|    learning_rate        | 5e-05        |
|    loss                 | 2.9          |
|    n_updates            | 620          |
|    policy_gradient_loss | -0.00173     |
|    std                  | 0.922        |
|    value_loss           | 5.08         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 131      |
|    ep_rew_mean     | 12.7     |
| time/              |          |
|    fps             | 853      |
|    iterations      | 32       |
|    time_elapsed    | 95       |
|    total_timesteps | 81920    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 130          |
|    ep_rew_mean          | 12.8         |
| time/                   |              |
|    fps                  | 857          |
|    iterations           | 33           |
|    time_elapsed         | 98           |
|    total_timesteps      | 84480        |
| train/                  |              |
|    approx_kl            | 0.0019571364 |
|    clip_fraction        | 0.0618       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.0613       |
|    learning_rate        | 5e-05        |
|    loss                 | 2.18         |
|    n_updates            | 640          |
|    policy_gradient_loss | -0.00263     |
|    std                  | 0.918        |
|    value_loss           | 4.89         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 147          |
|    ep_rew_mean          | 16.2         |
| time/                   |              |
|    fps                  | 862          |
|    iterations           | 34           |
|    time_elapsed         | 100          |
|    total_timesteps      | 87040        |
| train/                  |              |
|    approx_kl            | 0.0011322217 |
|    clip_fraction        | 0.0393       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.66        |
|    explained_variance   | 0.103        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.57         |
|    n_updates            | 660          |
|    policy_gradient_loss | -0.00213     |
|    std                  | 0.916        |
|    value_loss           | 7.02         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 150          |
|    ep_rew_mean          | 17.4         |
| time/                   |              |
|    fps                  | 866          |
|    iterations           | 35           |
|    time_elapsed         | 103          |
|    total_timesteps      | 89600        |
| train/                  |              |
|    approx_kl            | 0.0017728407 |
|    clip_fraction        | 0.079        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.66        |
|    explained_variance   | 0.264        |
|    learning_rate        | 5e-05        |
|    loss                 | 3.36         |
|    n_updates            | 680          |
|    policy_gradient_loss | -0.00373     |
|    std                  | 0.913        |
|    value_loss           | 6.01         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.0667       |
|    max_step             | 0            |
|    mean_ep_length       | 127          |
|    mean_reward          | 104          |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.36135754   |
|    route_completion     | 0.176        |
|    success_rate         | 0            |
|    total_cost           | 4.98         |
| time/                   |              |
|    total_timesteps      | 90000        |
| train/                  |              |
|    approx_kl            | 0.0018223722 |
|    clip_fraction        | 0.0851       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.65        |
|    explained_variance   | 0.0284       |
|    learning_rate        | 5e-05        |
|    loss                 | 3.94         |
|    n_updates            | 700          |
|    policy_gradient_loss | -0.0041      |
|    std                  | 0.911        |
|    value_loss           | 9.24         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 164      |
|    ep_rew_mean     | 20.5     |
| time/              |          |
|    fps             | 854      |
|    iterations      | 36       |
|    time_elapsed    | 107      |
|    total_timesteps | 92160    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 174          |
|    ep_rew_mean          | 23.6         |
| time/                   |              |
|    fps                  | 859          |
|    iterations           | 37           |
|    time_elapsed         | 110          |
|    total_timesteps      | 94720        |
| train/                  |              |
|    approx_kl            | 0.0010748473 |
|    clip_fraction        | 0.027        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.65        |
|    explained_variance   | 0.0612       |
|    learning_rate        | 5e-05        |
|    loss                 | 4.26         |
|    n_updates            | 720          |
|    policy_gradient_loss | -0.00245     |
|    std                  | 0.909        |
|    value_loss           | 9.84         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 175          |
|    ep_rew_mean          | 25.2         |
| time/                   |              |
|    fps                  | 864          |
|    iterations           | 38           |
|    time_elapsed         | 112          |
|    total_timesteps      | 97280        |
| train/                  |              |
|    approx_kl            | 0.0009286793 |
|    clip_fraction        | 0.044        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.64        |
|    explained_variance   | 0.0617       |
|    learning_rate        | 5e-05        |
|    loss                 | 3.5          |
|    n_updates            | 740          |
|    policy_gradient_loss | -0.00245     |
|    std                  | 0.907        |
|    value_loss           | 7.96         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 173          |
|    ep_rew_mean          | 26.3         |
| time/                   |              |
|    fps                  | 867          |
|    iterations           | 39           |
|    time_elapsed         | 115          |
|    total_timesteps      | 99840        |
| train/                  |              |
|    approx_kl            | 0.0013895412 |
|    clip_fraction        | 0.0488       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.64        |
|    explained_variance   | -0.00555     |
|    learning_rate        | 5e-05        |
|    loss                 | 5.77         |
|    n_updates            | 760          |
|    policy_gradient_loss | -0.00268     |
|    std                  | 0.905        |
|    value_loss           | 10.3         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.1          |
