Using cpu device
Loading checkpoint from C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\mini_project\runs\ppo_metadrive_new_reward_5000\ppo_metadrive_new_reward_5000_2025-03-20_09-12-37_679e3d6f\models\rl_model_1300000_steps.zip!
Logging to runs\ppo_metadrive_new_reward_5000\ppo_metadrive_new_reward_5000_2025-03-20_10-44-32_97412f1e\ppo_metadrive_new_reward_5000_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 352      |
|    ep_rew_mean     | 314      |
| time/              |          |
|    fps             | 428      |
|    iterations      | 4        |
|    time_elapsed    | 47       |
|    total_timesteps | 20480    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 339          |
|    ep_rew_mean          | 306          |
| time/                   |              |
|    fps                  | 455          |
|    iterations           | 5            |
|    time_elapsed         | 56           |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0013729624 |
|    clip_fraction        | 0.119        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.91        |
|    explained_variance   | 0.759        |
|    learning_rate        | 5e-05        |
|    loss                 | 89.6         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.000696    |
|    std                  | 0.647        |
|    value_loss           | 210          |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0.133        |
|    crash                | 0.2          |
|    max_step             | 0            |
|    mean_ep_length       | 126          |
|    mean_reward          | 157          |
|    num_episodes         | 5            |
|    out_of_road          | 0.867        |
|    raw_action           | 0.48023555   |
|    route_completion     | 0.558        |
|    success_rate         | 0            |
|    total_cost           | 13.3         |
| time/                   |              |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0012976391 |
|    arrive_dest          | 0.0667       |
|    clip_fraction        | 0.128        |
|    clip_range           | 0.1          |
|    crash                | 0.467        |
|    entropy_loss         | -1.9         |
|    explained_variance   | 0.626        |
|    learning_rate        | 5e-05        |
|    loss                 | 156          |
|    max_step             | 0            |
|    n_updates            | 100          |
|    out_of_road          | 0.933        |
|    policy_gradient_loss | -6.94e-05    |
|    route_completion     | 0.409        |
|    std                  | 0.646        |
|    total_cost           | 6.33         |
|    value_loss           | 299          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 336      |
|    ep_rew_mean     | 305      |
| time/              |          |
|    fps             | 441      |
|    iterations      | 6        |
|    time_elapsed    | 69       |
|    total_timesteps | 30720    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 328         |
|    ep_rew_mean          | 299         |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 7           |
|    time_elapsed         | 79          |
|    total_timesteps      | 35840       |
| train/                  |             |
|    approx_kl            | 0.003201935 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.1         |
|    entropy_loss         | -1.9        |
|    explained_variance   | 0.663       |
|    learning_rate        | 5e-05       |
|    loss                 | 76.7        |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.000516    |
|    std                  | 0.646       |
|    value_loss           | 203         |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0.15         |
|    crash                | 0.2          |
|    max_step             | 0            |
|    mean_ep_length       | 139          |
|    mean_reward          | 192          |
|    num_episodes         | 5            |
|    out_of_road          | 0.85         |
|    raw_action           | 0.4722455    |
|    route_completion     | 0.556        |
|    success_rate         | 0.4          |
|    total_cost           | 11.1         |
| time/                   |              |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0015635375 |
|    arrive_dest          | 0.2          |
|    clip_fraction        | 0.0725       |
|    clip_range           | 0.1          |
|    crash                | 0.5          |
|    entropy_loss         | -1.9         |
|    explained_variance   | 0.662        |
|    learning_rate        | 5e-05        |
|    loss                 | 72.9         |
|    max_step             | 0            |
|    n_updates            | 140          |
|    out_of_road          | 0.8          |
|    policy_gradient_loss | -0.00267     |
|    route_completion     | 0.48         |
|    std                  | 0.644        |
|    total_cost           | 15.7         |
|    value_loss           | 222          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 312      |
|    ep_rew_mean     | 288      |
| time/              |          |
|    fps             | 416      |
|    iterations      | 8        |
|    time_elapsed    | 98       |
|    total_timesteps | 40960    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 312         |
|    ep_rew_mean          | 287         |
| time/                   |             |
|    fps                  | 434         |
|    iterations           | 9           |
|    time_elapsed         | 106         |
|    total_timesteps      | 46080       |
| train/                  |             |
|    approx_kl            | 0.002939344 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.1         |
|    entropy_loss         | -1.89       |
|    explained_variance   | 0.625       |
|    learning_rate        | 5e-05       |
|    loss                 | 178         |
|    n_updates            | 160         |
|    policy_gradient_loss | 0.000207    |
|    std                  | 0.644       |
|    value_loss           | 299         |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0.2         |
|    crash                | 0.24        |
|    max_step             | 0           |
|    mean_ep_length       | 178         |
|    mean_reward          | 213         |
|    num_episodes         | 5           |
|    out_of_road          | 0.8         |
|    raw_action           | 0.4777479   |
|    route_completion     | 0.568       |
|    success_rate         | 0.2         |
|    total_cost           | 12.3        |
| time/                   |             |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.003964329 |
|    arrive_dest          | 0.16        |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.1         |
|    crash                | 0.48        |
|    entropy_loss         | -1.89       |
|    explained_variance   | 0.687       |
|    learning_rate        | 5e-05       |
|    loss                 | 91          |
|    max_step             | 0           |
|    n_updates            | 180         |
|    out_of_road          | 0.84        |
|    policy_gradient_loss | -0.000775   |
|    route_completion     | 0.461       |
|    std                  | 0.643       |
|    total_cost           | 13.1        |
|    value_loss           | 208         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 296      |
|    ep_rew_mean     | 270      |
| time/              |          |
|    fps             | 418      |
|    iterations      | 10       |
|    time_elapsed    | 122      |
|    total_timesteps | 51200    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 292          |
|    ep_rew_mean          | 265          |
| time/                   |              |
|    fps                  | 428          |
|    iterations           | 11           |
|    time_elapsed         | 131          |
|    total_timesteps      | 56320        |
| train/                  |              |
|    approx_kl            | 0.0017591908 |
|    clip_fraction        | 0.163        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.89        |
|    explained_variance   | 0.597        |
|    learning_rate        | 5e-05        |
|    loss                 | 127          |
|    n_updates            | 200          |
|    policy_gradient_loss | 0.00201      |
|    std                  | 0.644        |
|    value_loss           | 246          |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0.2         |
|    crash                | 0.267       |
|    max_step             | 0           |
|    mean_ep_length       | 166         |
|    mean_reward          | 147         |
|    num_episodes         | 5           |
|    out_of_road          | 0.8         |
|    raw_action           | 0.47977427  |
|    route_completion     | 0.541       |
|    success_rate         | 0.1         |
|    total_cost           | 14.4        |
| time/                   |             |
|    total_timesteps      | 60000       |
| train/                  |             |
|    approx_kl            | 0.009700579 |
|    arrive_dest          | 0.133       |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.1         |
|    crash                | 0.433       |
|    entropy_loss         | -1.89       |
|    explained_variance   | 0.659       |
|    learning_rate        | 5e-05       |
|    loss                 | 99.7        |
|    max_step             | 0           |
|    n_updates            | 220         |
|    out_of_road          | 0.867       |
|    policy_gradient_loss | 0.000683    |
|    route_completion     | 0.441       |
|    std                  | 0.644       |
|    total_cost           | 11.2        |
|    value_loss           | 219         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 285      |
|    ep_rew_mean     | 253      |
| time/              |          |
|    fps             | 411      |
|    iterations      | 12       |
|    time_elapsed    | 149      |
|    total_timesteps | 61440    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 289          |
|    ep_rew_mean          | 253          |
| time/                   |              |
|    fps                  | 421          |
|    iterations           | 13           |
|    time_elapsed         | 157          |
|    total_timesteps      | 66560        |
| train/                  |              |
|    approx_kl            | 0.0015681118 |
|    clip_fraction        | 0.106        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.89        |
|    explained_variance   | 0.635        |
|    learning_rate        | 5e-05        |
|    loss                 | 106          |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00132     |
|    std                  | 0.642        |
|    value_loss           | 267          |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0.2         |
|    crash                | 0.286       |
|    max_step             | 0           |
|    mean_ep_length       | 149         |
|    mean_reward          | 190         |
|    num_episodes         | 5           |
|    out_of_road          | 0.8         |
|    raw_action           | 0.47800848  |
|    route_completion     | 0.531       |
|    success_rate         | 0.1         |
|    total_cost           | 13.6        |
| time/                   |             |
|    total_timesteps      | 70000       |
| train/                  |             |
|    approx_kl            | 0.001163894 |
|    arrive_dest          | 0.114       |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.1         |
|    crash                | 0.429       |
|    entropy_loss         | -1.88       |
|    explained_variance   | 0.588       |
|    learning_rate        | 5e-05       |
|    loss                 | 126         |
|    max_step             | 0           |
|    n_updates            | 260         |
|    out_of_road          | 0.886       |
|    policy_gradient_loss | -0.000777   |
|    route_completion     | 0.453       |
|    std                  | 0.639       |
|    total_cost           | 10.7        |
|    value_loss           | 263         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 270      |
|    ep_rew_mean     | 242      |
| time/              |          |
|    fps             | 411      |
|    iterations      | 14       |
|    time_elapsed    | 173      |
|    total_timesteps | 71680    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 256         |
| time/                   |             |
|    fps                  | 420         |
|    iterations           | 15          |
|    time_elapsed         | 182         |
|    total_timesteps      | 76800       |
| train/                  |             |
|    approx_kl            | 0.006779805 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.1         |
|    entropy_loss         | -1.87       |
|    explained_variance   | 0.613       |
|    learning_rate        | 5e-05       |
|    loss                 | 99.6        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00125    |
|    std                  | 0.638       |
|    value_loss           | 233         |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0.225       |
|    crash                | 0.25        |
|    max_step             | 0           |
|    mean_ep_length       | 165         |
|    mean_reward          | 180         |
|    num_episodes         | 5           |
|    out_of_road          | 0.775       |
|    raw_action           | 0.488241    |
|    route_completion     | 0.538       |
|    success_rate         | 0.3         |
|    total_cost           | 14          |
| time/                   |             |
|    total_timesteps      | 80000       |
| train/                  |             |
|    approx_kl            | 0.005062279 |
|    arrive_dest          | 0.125       |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.1         |
|    crash                | 0.425       |
|    entropy_loss         | -1.87       |
|    explained_variance   | 0.787       |
|    learning_rate        | 5e-05       |
|    loss                 | 78.2        |
|    max_step             | 0           |
|    n_updates            | 300         |
|    out_of_road          | 0.875       |
|    policy_gradient_loss | 0.000845    |
|    route_completion     | 0.457       |
|    std                  | 0.637       |
|    total_cost           | 10.7        |
|    value_loss           | 140         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 286      |
|    ep_rew_mean     | 255      |
| time/              |          |
|    fps             | 410      |
|    iterations      | 16       |
|    time_elapsed    | 199      |
|    total_timesteps | 81920    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 303          |
|    ep_rew_mean          | 266          |
| time/                   |              |
|    fps                  | 418          |
|    iterations           | 17           |
|    time_elapsed         | 208          |
|    total_timesteps      | 87040        |
| train/                  |              |
|    approx_kl            | 0.0045521953 |
|    clip_fraction        | 0.14         |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.86        |
|    explained_variance   | 0.602        |
|    learning_rate        | 5e-05        |
|    loss                 | 192          |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.000385    |
|    std                  | 0.636        |
|    value_loss           | 255          |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0.2          |
|    crash                | 0.244        |
|    max_step             | 0            |
|    mean_ep_length       | 124          |
|    mean_reward          | 108          |
|    num_episodes         | 5            |
|    out_of_road          | 0.8          |
|    raw_action           | 0.49509937   |
|    route_completion     | 0.523        |
|    success_rate         | 0            |
|    total_cost           | 14.5         |
| time/                   |              |
|    total_timesteps      | 90000        |
| train/                  |              |
|    approx_kl            | 0.0036336407 |
|    arrive_dest          | 0.111        |
|    clip_fraction        | 0.156        |
|    clip_range           | 0.1          |
|    crash                | 0.422        |
|    entropy_loss         | -1.86        |
|    explained_variance   | 0.765        |
|    learning_rate        | 5e-05        |
|    loss                 | 78.8         |
|    max_step             | 0            |
|    n_updates            | 340          |
|    out_of_road          | 0.889        |
|    policy_gradient_loss | 0.000838     |
|    route_completion     | 0.459        |
|    std                  | 0.636        |
|    total_cost           | 9.91         |
|    value_loss           | 173          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 295      |
|    ep_rew_mean     | 262      |
| time/              |          |
|    fps             | 416      |
|    iterations      | 18       |
|    time_elapsed    | 221      |
|    total_timesteps | 92160    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 316         |
|    ep_rew_mean          | 280         |
| time/                   |             |
|    fps                  | 424         |
|    iterations           | 19          |
|    time_elapsed         | 229         |
|    total_timesteps      | 97280       |
| train/                  |             |
|    approx_kl            | 0.005289274 |
|    clip_fraction        | 0.203       |
|    clip_range           | 0.1         |
|    entropy_loss         | -1.86       |
|    explained_variance   | 0.646       |
|    learning_rate        | 5e-05       |
|    loss                 | 98.5        |
|    n_updates            | 360         |
|    policy_gradient_loss | 0.00125     |
|    std                  | 0.636       |
|    value_loss           | 185         |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0.2         |
|    crash                | 0.26        |
|    max_step             | 0           |
|    mean_ep_length       | 174         |
|    mean_reward          | 154         |
|    num_episodes         | 5           |
|    out_of_road          | 0.8         |
|    raw_action           | 0.4971272   |
|    route_completion     | 0.521       |
|    success_rate         | 0.2         |
|    total_cost           | 15.9        |
| time/                   |             |
|    total_timesteps      | 100000      |
| train/                  |             |
|    approx_kl            | 0.005645705 |
|    arrive_dest          | 0.12        |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.1         |
|    crash                | 0.44        |
|    entropy_loss         | -1.86       |
|    explained_variance   | 0.762       |
|    learning_rate        | 5e-05       |
|    loss                 | 57.9        |
|    max_step             | 0           |
|    n_updates            | 380         |
|    out_of_road          | 0.88        |
|    policy_gradient_loss | -0.00103    |
|    route_completion     | 0.464       |
|    std                  | 0.636       |
|    total_cost           | 9.28        |
|    value_loss           | 154         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 311      |
|    ep_rew_mean     | 276      |
| time/              |          |
|    fps             | 418      |
|    iterations      | 20       |
|    time_elapsed    | 244      |
|    total_timesteps | 102400   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 323         |
|    ep_rew_mean          | 277         |
| time/                   |             |
|    fps                  | 425         |
|    iterations           | 21          |
|    time_elapsed         | 252         |
|    total_timesteps      | 107520      |
| train/                  |             |
|    approx_kl            | 0.001702643 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.1         |
|    entropy_loss         | -1.86       |
|    explained_variance   | 0.683       |
|    learning_rate        | 5e-05       |
|    loss                 | 118         |
|    n_updates            | 400         |
|    policy_gradient_loss | 0.00155     |
|    std                  | 0.634       |
|    value_loss           | 238         |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0.218        |
|    crash                | 0.255        |
|    max_step             | 0            |
|    mean_ep_length       | 192          |
|    mean_reward          | 283          |
|    num_episodes         | 5            |
|    out_of_road          | 0.782        |
|    raw_action           | 0.49764657   |
|    route_completion     | 0.547        |
|    success_rate         | 0.3          |
|    total_cost           | 15.3         |
| time/                   |              |
|    total_timesteps      | 110000       |
| train/                  |              |
|    approx_kl            | 0.0019727172 |
|    arrive_dest          | 0.127        |
|    clip_fraction        | 0.144        |
|    clip_range           | 0.1          |
|    crash                | 0.4          |
|    entropy_loss         | -1.85        |
|    explained_variance   | 0.747        |
|    learning_rate        | 5e-05        |
|    loss                 | 112          |
|    max_step             | 0            |
|    n_updates            | 420          |
|    out_of_road          | 0.873        |
|    policy_gradient_loss | 0.000141     |
|    route_completion     | 0.457        |
|    std                  | 0.633        |
|    total_cost           | 8.55         |
|    value_loss           | 207          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 318      |
|    ep_rew_mean     | 278      |
| time/              |          |
|    fps             | 424      |
|    iterations      | 22       |
|    time_elapsed    | 265      |
|    total_timesteps | 112640   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 321          |
|    ep_rew_mean          | 282          |
| time/                   |              |
|    fps                  | 431          |
|    iterations           | 23           |
|    time_elapsed         | 272          |
|    total_timesteps      | 117760       |
| train/                  |              |
|    approx_kl            | 0.0025173412 |
|    clip_fraction        | 0.166        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.85        |
|    explained_variance   | 0.666        |
|    learning_rate        | 5e-05        |
|    loss                 | 68.7         |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.000104    |
|    std                  | 0.633        |
|    value_loss           | 182          |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0.2          |
|    crash                | 0.25         |
|    max_step             | 0            |
|    mean_ep_length       | 123          |
|    mean_reward          | 152          |
|    num_episodes         | 5            |
|    out_of_road          | 0.8          |
|    raw_action           | 0.48189306   |
|    route_completion     | 0.543        |
|    success_rate         | 0.1          |
|    total_cost           | 14.5         |
| time/                   |              |
|    total_timesteps      | 120000       |
| train/                  |              |
|    approx_kl            | 0.0036262642 |
|    arrive_dest          | 0.133        |
|    clip_fraction        | 0.177        |
|    clip_range           | 0.1          |
|    crash                | 0.367        |
|    entropy_loss         | -1.85        |
|    explained_variance   | 0.734        |
|    learning_rate        | 5e-05        |
|    loss                 | 91.6         |
|    max_step             | 0            |
|    n_updates            | 460          |
|    out_of_road          | 0.867        |
|    policy_gradient_loss | 0.0012       |
|    route_completion     | 0.457        |
|    std                  | 0.632        |
|    total_cost           | 11.1         |
|    value_loss           | 167          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 316      |
|    ep_rew_mean     | 276      |
| time/              |          |
|    fps             | 416      |
|    iterations      | 24       |
|    time_elapsed    | 294      |
|    total_timesteps | 122880   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 334          |
|    ep_rew_mean          | 284          |
| time/                   |              |
|    fps                  | 423          |
|    iterations           | 25           |
|    time_elapsed         | 302          |
|    total_timesteps      | 128000       |
| train/                  |              |
|    approx_kl            | 0.0018541735 |
|    clip_fraction        | 0.159        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.85        |
|    explained_variance   | 0.608        |
|    learning_rate        | 5e-05        |
|    loss                 | 128          |
|    n_updates            | 480          |
|    policy_gradient_loss | 0.000335     |
|    std                  | 0.632        |
|    value_loss           | 270          |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    arrive_dest          | 0.231       |
|    crash                | 0.231       |
|    max_step             | 0           |
|    mean_ep_length       | 251         |
|    mean_reward          | 298         |
|    num_episodes         | 5           |
|    out_of_road          | 0.769       |
|    raw_action           | 0.47500363  |
|    route_completion     | 0.565       |
|    success_rate         | 0.4         |
|    total_cost           | 15.4        |
| time/                   |             |
|    total_timesteps      | 130000      |
| train/                  |             |
|    approx_kl            | 0.001286828 |
|    arrive_dest          | 0.138       |
|    clip_fraction        | 0.249       |
|    clip_range           | 0.1         |
|    crash                | 0.354       |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.744       |
|    learning_rate        | 5e-05       |
|    loss                 | 56          |
|    max_step             | 0           |
|    n_updates            | 500         |
|    out_of_road          | 0.862       |
|    policy_gradient_loss | 0.00715     |
|    route_completion     | 0.463       |
|    std                  | 0.633       |
|    total_cost           | 12.1        |
|    value_loss           | 131         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 325      |
|    ep_rew_mean     | 280      |
| time/              |          |
|    fps             | 411      |
|    iterations      | 26       |
|    time_elapsed    | 323      |
|    total_timesteps | 133120   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 341          |
|    ep_rew_mean          | 289          |
| time/                   |              |
|    fps                  | 416          |
|    iterations           | 27           |
|    time_elapsed         | 331          |
|    total_timesteps      | 138240       |
| train/                  |              |
|    approx_kl            | 0.0022764057 |
|    clip_fraction        | 0.238        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.85        |
|    explained_variance   | 0.672        |
|    learning_rate        | 5e-05        |
|    loss                 | 97.5         |
|    n_updates            | 520          |
|    policy_gradient_loss | 0.00319      |
|    std                  | 0.631        |
|    value_loss           | 198          |
------------------------------------------
-------------------------------------------
| eval/                   |               |
|    arrive_dest          | 0.257         |
|    crash                | 0.243         |
|    max_step             | 0             |
|    mean_ep_length       | 224           |
|    mean_reward          | 288           |
|    num_episodes         | 5             |
|    out_of_road          | 0.743         |
|    raw_action           | 0.47673443    |
|    route_completion     | 0.575         |
|    success_rate         | 0.3           |
|    total_cost           | 15.6          |
| time/                   |               |
|    total_timesteps      | 140000        |
| train/                  |               |
|    approx_kl            | 0.00091250084 |
|    arrive_dest          | 0.129         |
|    clip_fraction        | 0.145         |
|    clip_range           | 0.1           |
|    crash                | 0.329         |
|    entropy_loss         | -1.85         |
|    explained_variance   | 0.775         |
|    learning_rate        | 5e-05         |
|    loss                 | 47.5          |
|    max_step             | 0             |
|    n_updates            | 540           |
|    out_of_road          | 0.871         |
|    policy_gradient_loss | -0.000109     |
|    route_completion     | 0.459         |
|    std                  | 0.63          |
|    total_cost           | 11.4          |
|    value_loss           | 131           |
-------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 344      |
|    ep_rew_mean     | 294      |
| time/              |          |
|    fps             | 412      |
|    iterations      | 28       |
|    time_elapsed    | 347      |
|    total_timesteps | 143360   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 342         |
|    ep_rew_mean          | 291         |
| time/                   |             |
|    fps                  | 416         |
|    iterations           | 29          |
|    time_elapsed         | 356         |
|    total_timesteps      | 148480      |
| train/                  |             |
|    approx_kl            | 0.002123511 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.1         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.669       |
|    learning_rate        | 5e-05       |
|    loss                 | 112         |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.00122    |
|    std                  | 0.628       |
|    value_loss           | 190         |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0.28         |
|    crash                | 0.24         |
|    max_step             | 0            |
|    mean_ep_length       | 209          |
|    mean_reward          | 200          |
|    num_episodes         | 5            |
|    out_of_road          | 0.72         |
|    raw_action           | 0.47494453   |
|    route_completion     | 0.587        |
|    success_rate         | 0.5          |
|    total_cost           | 17.3         |
| time/                   |              |
|    total_timesteps      | 150000       |
| train/                  |              |
|    approx_kl            | 0.0012269138 |
|    arrive_dest          | 0.147        |
|    clip_fraction        | 0.142        |
|    clip_range           | 0.1          |
|    crash                | 0.32         |
|    entropy_loss         | -1.84        |
|    explained_variance   | 0.717        |
|    learning_rate        | 5e-05        |
|    loss                 | 123          |
|    max_step             | 0            |
|    n_updates            | 580          |
|    out_of_road          | 0.853        |
|    policy_gradient_loss | -0.000117    |
|    route_completion     | 0.466        |
|    std                  | 0.627        |
|    total_cost           | 11           |
|    value_loss           | 203          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 335      |
|    ep_rew_mean     | 286      |
| time/              |          |
|    fps             | 411      |
|    iterations      | 30       |
|    time_elapsed    | 373      |
|    total_timesteps | 153600   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 338          |
|    ep_rew_mean          | 288          |
| time/                   |              |
|    fps                  | 417          |
|    iterations           | 31           |
|    time_elapsed         | 380          |
|    total_timesteps      | 158720       |
| train/                  |              |
