Using cpu device
Logging to runs\ppo_metadrive_10_scenarios\ppo_metadrive_10_scenarios_2025-03-19_12-18-01_c4e7621c\ppo_metadrive_10_scenarios_1
-----------------------------
| time/              |      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.827        |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0014      |
|    std                  | 0.982        |
|    value_loss           | 1.76         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 339          |
|    ep_rew_mean          | 4.59         |
| time/                   |              |
|    fps                  | 805          |
|    iterations           | 10           |
|    time_elapsed         | 31           |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0016755546 |
|    clip_fraction        | 0.0785       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.8         |
|    explained_variance   | 0.0158       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.601        |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00166     |
|    std                  | 0.98         |
|    value_loss           | 0.89         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 355          |
|    ep_rew_mean          | 5.57         |
| time/                   |              |
|    fps                  | 827          |
|    iterations           | 11           |
|    time_elapsed         | 34           |
|    total_timesteps      | 28160        |
| train/                  |              |
|    approx_kl            | 0.0015456515 |
|    clip_fraction        | 0.0482       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.79        |
|    explained_variance   | -0.0452      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.305        |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00163     |
|    std                  | 0.975        |
|    value_loss           | 0.748        |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0            |
|    max_step             | 0            |
|    mean_ep_length       | 77           |
|    mean_reward          | 45           |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.17646788   |
|    route_completion     | 0.0913       |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0014455203 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0568       |
|    clip_range           | 0.1          |
|    crash                | 0            |
|    entropy_loss         | -2.78        |
|    explained_variance   | -0.00469     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.434        |
|    max_step             | 0            |
|    n_updates            | 220          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00189     |
|    route_completion     | 0.103        |
|    std                  | 0.973        |
|    total_cost           | 1            |
|    value_loss           | 0.788        |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 326      |
|    ep_rew_mean     | 5.6      |
| time/              |          |
|    fps             | 771      |
|    iterations      | 12       |
|    time_elapsed    | 39       |
|    total_timesteps | 30720    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 308          |
|    ep_rew_mean          | 5.4          |
| time/                   |              |
|    fps                  | 788          |
|    iterations           | 13           |
|    time_elapsed         | 42           |
|    total_timesteps      | 33280        |
| train/                  |              |
|    approx_kl            | 0.0018299359 |
|    clip_fraction        | 0.0944       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.78        |
|    explained_variance   | -0.00597     |
|    learning_rate        | 5e-05        |
|    loss                 | 0.63         |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00309     |
|    std                  | 0.972        |
|    value_loss           | 2            |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 293          |
|    ep_rew_mean          | 6.29         |
| time/                   |              |
|    fps                  | 796          |
|    iterations           | 14           |
|    time_elapsed         | 45           |
|    total_timesteps      | 35840        |
| train/                  |              |
|    approx_kl            | 0.0020816375 |
|    clip_fraction        | 0.108        |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.78        |
|    explained_variance   | -0.011       |
|    learning_rate        | 5e-05        |
|    loss                 | 0.592        |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.0029      |
|    std                  | 0.969        |
|    value_loss           | 1.23         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 301          |
|    ep_rew_mean          | 7.54         |
| time/                   |              |
|    fps                  | 804          |
|    iterations           | 15           |
|    time_elapsed         | 47           |
|    total_timesteps      | 38400        |
| train/                  |              |
|    approx_kl            | 0.0014193474 |
|    clip_fraction        | 0.0377       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.77        |
|    explained_variance   | -0.00119     |
|    learning_rate        | 5e-05        |
|    loss                 | 1.38         |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00146     |
|    std                  | 0.964        |
|    value_loss           | 2.18         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.05         |
|    max_step             | 0            |
|    mean_ep_length       | 53.6         |
|    mean_reward          | 31           |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.21997134   |
|    route_completion     | 0.0944       |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0010498565 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0215       |
|    clip_range           | 0.1          |
|    crash                | 0.1          |
|    entropy_loss         | -2.76        |
|    explained_variance   | -0.000599    |
|    learning_rate        | 5e-05        |
|    loss                 | 0.693        |
|    max_step             | 0            |
|    n_updates            | 300          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.000694    |
|    route_completion     | 0.105        |
|    std                  | 0.961        |
|    total_cost           | 1            |
|    value_loss           | 1.2          |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 288      |
|    ep_rew_mean     | 8.3      |
| time/              |          |
|    fps             | 760      |
|    iterations      | 16       |
|    time_elapsed    | 53       |
|    total_timesteps | 40960    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 269          |
|    ep_rew_mean          | 8.24         |
| time/                   |              |
|    fps                  | 764          |
|    iterations           | 17           |
|    time_elapsed         | 56           |
|    total_timesteps      | 43520        |
| train/                  |              |
|    approx_kl            | 0.0017207384 |
|    clip_fraction        | 0.0915       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.76        |
|    explained_variance   | 0.0164       |
|    learning_rate        | 5e-05        |
|    loss                 | 2.29         |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00243     |
|    std                  | 0.962        |
|    value_loss           | 3.5          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 252          |
|    ep_rew_mean          | 8.24         |
| time/                   |              |
|    fps                  | 773          |
|    iterations           | 18           |
|    time_elapsed         | 59           |
|    total_timesteps      | 46080        |
| train/                  |              |
|    approx_kl            | 0.0010706293 |
|    clip_fraction        | 0.0255       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.76        |
|    explained_variance   | 0.0287       |
|    learning_rate        | 5e-05        |
|    loss                 | 1.2          |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.000801    |
|    std                  | 0.962        |
|    value_loss           | 2.53         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 219          |
|    ep_rew_mean          | 8.79         |
| time/                   |              |
|    fps                  | 781          |
|    iterations           | 19           |
|    time_elapsed         | 62           |
|    total_timesteps      | 48640        |
| train/                  |              |
|    approx_kl            | 0.0014321335 |
|    clip_fraction        | 0.0266       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.76        |
|    explained_variance   | 0.00316      |
|    learning_rate        | 5e-05        |
|    loss                 | 0.889        |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00101     |
|    std                  | 0.96         |
|    value_loss           | 2.74         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.04         |
|    max_step             | 0            |
|    mean_ep_length       | 45.6         |
|    mean_reward          | 22.4         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.25256306   |
|    route_completion     | 0.09         |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 50000        |
| train/                  |              |
|    approx_kl            | 0.0016658638 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0627       |
|    clip_range           | 0.1          |
|    crash                | 0.08         |
|    entropy_loss         | -2.75        |
|    explained_variance   | 0.0249       |
|    learning_rate        | 5e-05        |
|    loss                 | 1.68         |
|    max_step             | 0            |
|    n_updates            | 380          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00186     |
|    route_completion     | 0.0953       |
|    std                  | 0.956        |
|    total_cost           | 1            |
|    value_loss           | 2.88         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 190      |
|    ep_rew_mean     | 8.47     |
| time/              |          |
|    fps             | 770      |
|    iterations      | 20       |
|    time_elapsed    | 66       |
|    total_timesteps | 51200    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 161          |
|    ep_rew_mean          | 8.19         |
| time/                   |              |
|    fps                  | 777          |
|    iterations           | 21           |
|    time_elapsed         | 69           |
|    total_timesteps      | 53760        |
| train/                  |              |
|    approx_kl            | 0.0017258212 |
|    clip_fraction        | 0.0814       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.75        |
|    explained_variance   | -0.0106      |
|    learning_rate        | 5e-05        |
|    loss                 | 2.12         |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00246     |
|    std                  | 0.957        |
|    value_loss           | 3.91         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 145          |
|    ep_rew_mean          | 7.68         |
| time/                   |              |
|    fps                  | 782          |
|    iterations           | 22           |
|    time_elapsed         | 71           |
|    total_timesteps      | 56320        |
| train/                  |              |
|    approx_kl            | 0.0016982838 |
|    clip_fraction        | 0.0591       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.75        |
|    explained_variance   | 0.00807      |
|    learning_rate        | 5e-05        |
|    loss                 | 2.57         |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.00219     |
|    std                  | 0.954        |
|    value_loss           | 4.28         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 138          |
|    ep_rew_mean          | 6.83         |
| time/                   |              |
|    fps                  | 788          |
|    iterations           | 23           |
|    time_elapsed         | 74           |
|    total_timesteps      | 58880        |
| train/                  |              |
|    approx_kl            | 0.0016226511 |
|    clip_fraction        | 0.0563       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.74        |
|    explained_variance   | 0.00507      |
|    learning_rate        | 5e-05        |
|    loss                 | 2.21         |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.0022      |
|    std                  | 0.95         |
|    value_loss           | 4.78         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.0333       |
|    max_step             | 0            |
|    mean_ep_length       | 33.8         |
|    mean_reward          | 10.9         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.26868466   |
|    route_completion     | 0.0842       |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 60000        |
| train/                  |              |
|    approx_kl            | 0.0016305441 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0582       |
|    clip_range           | 0.1          |
|    crash                | 0.0667       |
|    entropy_loss         | -2.73        |
|    explained_variance   | 0.0103       |
|    learning_rate        | 5e-05        |
|    loss                 | 1.61         |
|    max_step             | 0            |
|    n_updates            | 460          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.0016      |
|    route_completion     | 0.0866       |
|    std                  | 0.946        |
|    total_cost           | 1            |
|    value_loss           | 2.85         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 127      |
|    ep_rew_mean     | 6.48     |
| time/              |          |
|    fps             | 775      |
|    iterations      | 24       |
|    time_elapsed    | 79       |
|    total_timesteps | 61440    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 133          |
|    ep_rew_mean          | 7.54         |
| time/                   |              |
|    fps                  | 784          |
|    iterations           | 25           |
|    time_elapsed         | 81           |
|    total_timesteps      | 64000        |
| train/                  |              |
|    approx_kl            | 0.0011607637 |
|    clip_fraction        | 0.0312       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.73        |
|    explained_variance   | -0.00505     |
|    learning_rate        | 5e-05        |
|    loss                 | 2.29         |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.00132     |
|    std                  | 0.945        |
|    value_loss           | 5            |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 141          |
|    ep_rew_mean          | 8.82         |
| time/                   |              |
|    fps                  | 783          |
|    iterations           | 26           |
|    time_elapsed         | 84           |
|    total_timesteps      | 66560        |
| train/                  |              |
|    approx_kl            | 0.0016139454 |
|    clip_fraction        | 0.0417       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.72        |
|    explained_variance   | 0.00874      |
|    learning_rate        | 5e-05        |
|    loss                 | 1.3          |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00168     |
|    std                  | 0.939        |
|    value_loss           | 2.96         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 147          |
|    ep_rew_mean          | 10           |
| time/                   |              |
|    fps                  | 789          |
|    iterations           | 27           |
|    time_elapsed         | 87           |
|    total_timesteps      | 69120        |
| train/                  |              |
|    approx_kl            | 0.0009723211 |
|    clip_fraction        | 0.0289       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.71        |
|    explained_variance   | 0.0161       |
|    learning_rate        | 5e-05        |
|    loss                 | 2.54         |
|    n_updates            | 520          |
|    policy_gradient_loss | -0.00169     |
|    std                  | 0.937        |
|    value_loss           | 6.27         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.0857       |
|    max_step             | 0            |
|    mean_ep_length       | 67.8         |
|    mean_reward          | 58.9         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.30798125   |
|    route_completion     | 0.098        |
|    success_rate         | 0            |
|    total_cost           | 1            |
| time/                   |              |
|    total_timesteps      | 70000        |
| train/                  |              |
|    approx_kl            | 0.0020414323 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0866       |
|    clip_range           | 0.1          |
|    crash                | 0.143        |
|    entropy_loss         | -2.7         |
|    explained_variance   | 0.0469       |
|    learning_rate        | 5e-05        |
|    loss                 | 1.49         |
|    max_step             | 0            |
|    n_updates            | 540          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00308     |
|    route_completion     | 0.103        |
|    std                  | 0.933        |
|    total_cost           | 1            |
|    value_loss           | 3.63         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 138      |
|    ep_rew_mean     | 11.8     |
| time/              |          |
|    fps             | 776      |
|    iterations      | 28       |
|    time_elapsed    | 92       |
|    total_timesteps | 71680    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 136         |
|    ep_rew_mean          | 13.1        |
| time/                   |             |
|    fps                  | 782         |
|    iterations           | 29          |
|    time_elapsed         | 94          |
|    total_timesteps      | 74240       |
| train/                  |             |
|    approx_kl            | 0.001276755 |
|    clip_fraction        | 0.0496      |
|    clip_range           | 0.1         |
|    entropy_loss         | -2.69       |
|    explained_variance   | 0.0137      |
|    learning_rate        | 5e-05       |
|    loss                 | 4.06        |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.00225    |
|    std                  | 0.928       |
|    value_loss           | 9.24        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 137           |
|    ep_rew_mean          | 14.6          |
| time/                   |               |
|    fps                  | 786           |
|    iterations           | 30            |
|    time_elapsed         | 97            |
|    total_timesteps      | 76800         |
| train/                  |               |
|    approx_kl            | 0.00095332076 |
|    clip_fraction        | 0.0265        |
|    clip_range           | 0.1           |
|    entropy_loss         | -2.68         |
|    explained_variance   | 0.0224        |
|    learning_rate        | 5e-05         |
|    loss                 | 2.59          |
|    n_updates            | 580           |
|    policy_gradient_loss | -0.00143      |
|    std                  | 0.924         |
|    value_loss           | 7.07          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 129          |
|    ep_rew_mean          | 15.1         |
| time/                   |              |
|    fps                  | 789          |
|    iterations           | 31           |
|    time_elapsed         | 100          |
|    total_timesteps      | 79360        |
| train/                  |              |
|    approx_kl            | 0.0011642918 |
|    clip_fraction        | 0.0309       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.68        |
|    explained_variance   | 0.0194       |
|    learning_rate        | 5e-05        |
|    loss                 | 3.02         |
|    n_updates            | 600          |
|    policy_gradient_loss | -0.00179     |
|    std                  | 0.921        |
|    value_loss           | 7.39         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.125        |
|    max_step             | 0            |
|    mean_ep_length       | 88.2         |
|    mean_reward          | 84.7         |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.3424902    |
|    route_completion     | 0.124        |
|    success_rate         | 0            |
|    total_cost           | 1.68         |
| time/                   |              |
|    total_timesteps      | 80000        |
| train/                  |              |
|    approx_kl            | 0.0015400138 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0689       |
|    clip_range           | 0.1          |
|    crash                | 0.125        |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.00456      |
|    learning_rate        | 5e-05        |
|    loss                 | 3.96         |
|    max_step             | 0            |
|    n_updates            | 620          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00244     |
|    route_completion     | 0.123        |
|    std                  | 0.922        |
|    total_cost           | 1.25         |
|    value_loss           | 9.22         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 117      |
|    ep_rew_mean     | 17.8     |
| time/              |          |
|    fps             | 777      |
|    iterations      | 32       |
|    time_elapsed    | 105      |
|    total_timesteps | 81920    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | 17.4         |
| time/                   |              |
|    fps                  | 781          |
|    iterations           | 33           |
|    time_elapsed         | 108          |
|    total_timesteps      | 84480        |
| train/                  |              |
|    approx_kl            | 0.0007413561 |
|    clip_fraction        | 0.0213       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.0214       |
|    learning_rate        | 5e-05        |
|    loss                 | 7.34         |
|    n_updates            | 640          |
|    policy_gradient_loss | -0.00137     |
|    std                  | 0.922        |
|    value_loss           | 15.4         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 123           |
|    ep_rew_mean          | 18.7          |
| time/                   |               |
|    fps                  | 787           |
|    iterations           | 34            |
|    time_elapsed         | 110           |
|    total_timesteps      | 87040         |
| train/                  |               |
|    approx_kl            | 0.00075331726 |
|    clip_fraction        | 0.0175        |
|    clip_range           | 0.1           |
|    entropy_loss         | -2.67         |
|    explained_variance   | 0.0244        |
|    learning_rate        | 5e-05         |
|    loss                 | 4.58          |
|    n_updates            | 660           |
|    policy_gradient_loss | -0.00138      |
|    std                  | 0.919         |
|    value_loss           | 10.3          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 121          |
|    ep_rew_mean          | 19.3         |
| time/                   |              |
|    fps                  | 790          |
|    iterations           | 35           |
|    time_elapsed         | 113          |
|    total_timesteps      | 89600        |
| train/                  |              |
|    approx_kl            | 0.0015484858 |
|    clip_fraction        | 0.0511       |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.0293       |
|    learning_rate        | 5e-05        |
|    loss                 | 6.09         |
|    n_updates            | 680          |
|    policy_gradient_loss | -0.00182     |
|    std                  | 0.917        |
|    value_loss           | 10.9         |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    arrive_dest          | 0            |
|    crash                | 0.111        |
|    max_step             | 0            |
|    mean_ep_length       | 129          |
|    mean_reward          | 121          |
|    num_episodes         | 5            |
|    out_of_road          | 1            |
|    raw_action           | 0.36921233   |
|    route_completion     | 0.155        |
|    success_rate         | 0            |
|    total_cost           | 3.56         |
| time/                   |              |
|    total_timesteps      | 90000        |
| train/                  |              |
|    approx_kl            | 0.0015371607 |
|    arrive_dest          | 0            |
|    clip_fraction        | 0.0474       |
|    clip_range           | 0.1          |
|    crash                | 0.156        |
|    entropy_loss         | -2.66        |
|    explained_variance   | -0.0307      |
|    learning_rate        | 5e-05        |
|    loss                 | 5.75         |
|    max_step             | 0            |
|    n_updates            | 700          |
|    out_of_road          | 1            |
|    policy_gradient_loss | -0.00174     |
|    route_completion     | 0.151        |
|    std                  | 0.915        |
|    total_cost           | 2.11         |
|    value_loss           | 10.8         |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 116      |
|    ep_rew_mean     | 22.6     |
| time/              |          |
|    fps             | 773      |
|    iterations      | 36       |
|    time_elapsed    | 119      |
|    total_timesteps | 92160    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | 21.8         |
| time/                   |              |
|    fps                  | 778          |
|    iterations           | 37           |
|    time_elapsed         | 121          |
|    total_timesteps      | 94720        |
| train/                  |              |
|    approx_kl            | 0.0005653278 |
|    clip_fraction        | 0.00914      |
|    clip_range           | 0.1          |
|    entropy_loss         | -2.66        |
|    explained_variance   | -0.00425     |
|    learning_rate        | 5e-05        |
